filename,#author,#cmt,changeloc
src/main/java/org/junit/internal/runners/rules/ValidationError.java,1,1,11
src/test/java/org/junit/tests/experimental/rules/TestWatcherTest.java,7,9,457
src/test/java/org/junit/tests/ObjectContractTest.java,3,4,96
src/main/java/org/junit/internal/ArrayComparisonFailure.java,6,6,154
src/main/java/org/junit/runners/model/Statement.java,3,4,22
src/main/java/org/junit/package-info.java,1,1,2
src/main/java/org/junit/runners/JUnit4.java,3,3,36
src/test/java/org/junit/tests/experimental/theories/extendingwithstubs/Correspondent.java,1,1,2
src/test/java/org/junit/runner/FilterOptionIntegrationTest.java,1,3,274
src/test/java/org/junit/tests/experimental/parallel/ParallelClassTest.java,6,18,315
src/main/java/org/junit/internal/runners/statements/InvokeMethod.java,3,4,43
src/main/java/org/junit/internal/MethodSorter.java,7,17,620
src/main/java/org/junit/runner/FilterFactoryParams.java,2,10,241
src/test/java/org/junit/tests/AllTests.java,23,97,976
src/test/java/org/junit/tests/experimental/rules/TimeoutRuleTest.java,6,17,382
src/main/java/junit/framework/Protectable.java,1,1,8
src/main/java/org/junit/internal/runners/JUnit4ClassRunner.java,4,15,873
src/main/java/org/junit/internal/matchers/ThrowableMessageMatcher.java,3,3,103
src/test/java/org/junit/runners/model/FrameworkFieldTest.java,2,3,58
src/main/java/org/junit/experimental/results/ResultMatchers.java,6,13,222
src/main/java/org/junit/experimental/theories/suppliers/TestedOn.java,2,3,22
src/main/java/junit/runner/package-info.java,0,0,0
src/main/java/junit/runner/TestRunListener.java,1,1,26
src/main/java/org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParameters.java,2,2,165
src/test/java/org/junit/tests/assertion/ComparisonFailureTest.java,1,3,112
src/main/java/junit/framework/TestSuite.java,7,9,637
src/test/java/org/junit/tests/experimental/theories/internal/SpecificDataPointsSupplierTest.java,1,2,168
src/test/java/org/junit/samples/ListTest.java,2,2,132
src/main/java/org/junit/internal/runners/statements/RunAfters.java,7,9,123
src/main/java/junit/textui/package-info.java,0,0,0
src/main/java/org/junit/internal/ExactComparisonCriteria.java,2,5,32
src/main/java/junit/framework/Assert.java,7,13,735
src/main/java/org/junit/runners/model/FrameworkMember.java,5,10,137
src/test/java/org/junit/tests/junit3compatibility/ForwardCompatibilityTest.java,5,6,885
src/test/java/org/junit/tests/internal/runners/statements/FailOnTimeoutTest.java,6,15,621
src/test/java/junit/samples/money/MoneyBag.java,2,2,267
src/test/java/org/junit/runner/RunnerSpy.java,1,1,37
src/test/java/junit/tests/runner/package-info.java,0,0,0
src/test/java/org/junit/samples/SimpleTest.java,2,2,66
src/test/java/org/junit/tests/running/methods/TimeoutTest.java,7,16,541
src/test/java/junit/samples/package-info.java,0,0,0
src/main/java/org/junit/internal/builders/SuiteMethodBuilder.java,3,3,60
src/test/java/junit/tests/framework/NotVoidTestCase.java,1,1,15
src/main/java/org/junit/Assert.java,19,48,3362
src/test/java/org/junit/runner/notification/ConcurrentRunNotifierTest.java,1,1,180
src/test/java/org/junit/tests/experimental/rules/ClassRulesTest.java,7,11,833
src/test/java/junit/tests/AllTests.java,1,1,23
src/main/java/org/junit/experimental/categories/Category.java,4,13,194
src/main/java/org/junit/BeforeClass.java,5,6,22
src/test/java/org/junit/tests/junit3compatibility/OldTests.java,1,1,7
src/main/java/junit/framework/JUnit4TestCaseFacade.java,1,1,39
