problem,type,module_name,class_name,method_name
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.checkEnterPictureInPictureAppOpsState
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.moveFocusableActivityToTop
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.moveFocusableActivityToTop
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.deliverNewIntentLocked
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.deliverNewIntentLocked
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.updateOptionsLocked
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.updateOptionsLocked
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.applyOptionsLocked
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.getOptionsForTargetActivityLocked
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.clearOptionsLocked
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.takeOptionsLocked
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.takeOptionsLocked
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.removeUriPermissionsLocked
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.removeUriPermissionsLocked
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.setVisibility
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.setVisibility
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.setState
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.setState
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.notifyAppResumed
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.notifyAppResumed
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.makeVisibleIfNeeded
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.makeVisibleIfNeeded
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.makeClientVisible
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.makeClientVisible
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.makeActiveIfNeeded
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.makeActiveIfNeeded
